race_id,race_number,date_course,horse_id,target_rank,hippodrome,distance,weather_temperature,age,sex,shoeing_status,driver,entraineur,gains_carriere,cote_matin,avg_red_km_last_5,nb_races_last_5,nb_dai_last_5,avg_place_last_5,days_since_last_race,is_debutant
6329,1,2025-09-03,33134,6,CAP,2700,20.0,9,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,LEO ABRIVARD,L.CL. ABRIVARD,21155400.0,24.0,7273.333333333333,5,0,8.0,1.0,False
6329,1,2025-09-03,8515,12,CAP,2700,20.0,7,MALES,,J.CH. PITON,J. GUELPA,17889000.0,54.0,7470.0,5,3,6.0,1.0,False
6329,1,2025-09-03,26405,9,CAP,2700,20.0,7,FEMELLES,DEFERRE_ANTERIEURS_POSTERIEURS,M. LEGROS,B. MARIE,20868000.0,31.0,7350.0,5,0,7.5,1.0,False
7526,10,2025-09-24,26718,7,SOL,1640,11.0,5,FEMELLES,DEFERRE_ANTERIEURS,P. LENNARTSSON,S. MELANDER,7883600.0,50.0,56880.0,0,0,,365.0,True
7526,10,2025-09-24,21921,4,SOL,1640,11.0,4,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,O. KIHLSTROM,R. WALMANN,5264100.0,50.0,56880.0,0,0,,365.0,True
7526,10,2025-09-24,86553,8,SOL,1640,11.0,6,FEMELLES,DEFERRE_ANTERIEURS_POSTERIEURS,M.E. DJUSE,O. KYLIN BLOM,6262900.0,50.0,56880.0,0,0,,365.0,True
7526,10,2025-09-24,48828,1,SOL,1640,11.0,5,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,P. NYSTROM,L. NYSTROM,5940700.0,50.0,56880.0,0,0,,365.0,True
7526,10,2025-09-24,60756,6,SOL,1640,11.0,4,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,U. OHLSSON,C. ERIKSSON,6097900.0,50.0,56880.0,0,0,,365.0,True
7526,10,2025-09-24,23551,2,SOL,1640,11.0,4,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,M.A. DJUSE,M. DJUSE,5281600.0,50.0,56880.0,0,0,,365.0,True
7526,10,2025-09-24,31470,5,SOL,1640,11.0,5,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,C. SJOSTROM,C. SJOSTROM,6200900.0,50.0,56880.0,0,0,,365.0,True
7526,10,2025-09-24,48818,3,SOL,1640,11.0,5,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,C. LUGAUER,C. LUGAUER,4393800.0,50.0,56880.0,0,0,,365.0,True
7686,3,2025-09-28,3693,3,SON,2650,23.0,5,FEMELLES,DEFERRE_ANTERIEURS_POSTERIEURS,A. FRONTERA,A. FRONTERA,2886800.0,7.4,56880.0,0,0,,365.0,True
7753,1,2025-09-29,16870,3,ENG,2150,20.0,8,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,M. ABRIVARD,M. ABRIVARD,21880000.0,4.0,7386.666666666667,5,1,2.6666666666666665,1.0,False
6333,5,2025-09-03,72628,8,CAP,1800,20.0,6,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,G. GELORMINI,Edoardo LOCCISANO,48082800.0,26.0,7240.0,5,0,6.5,89.0,False
6333,5,2025-09-03,24012,4,CAP,1800,20.0,6,MALES,PROTEGE_ANTERIEURS_DEFERRRE_POSTERIEURS,P.Y. VERVA,J.R. DELLIAUX,56672000.0,11.0,7215.0,5,3,3.5,1.0,False
6333,5,2025-09-03,16853,2,CAP,1800,20.0,4,MALES,DEFERRE_ANTERIEURS,CL. DUVALDESTIN,TH. DUVALDESTIN,47462200.0,3.4,7106.666666666667,4,1,2.6666666666666665,1.0,False
6333,5,2025-09-03,17861,1,CAP,1800,20.0,8,HONGRES,DEFERRE_POSTERIEURS,J.W. HALLAIS,J.W. HALLAIS,49569000.0,14.0,7207.5,5,0,3.0,1.0,False
6333,5,2025-09-03,23014,5,CAP,1800,20.0,11,MALES,PROTEGE_ANTERIEURS_DEFERRRE_POSTERIEURS,F. NIVARD,CH. CUILLER,106948000.0,27.0,7108.0,5,0,6.4,1.0,False
6333,5,2025-09-03,57956,9,CAP,1800,20.0,7,FEMELLES,,LEO ABRIVARD,L.CL. ABRIVARD,104206300.0,32.0,7152.5,5,0,4.25,1.0,False
6333,5,2025-09-03,72718,6,CAP,1800,20.0,8,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,F. OUVRIE,TH. DUVALDESTIN,76494900.0,15.0,7076.0,5,0,6.4,1.0,False
6333,5,2025-09-03,5726,7,CAP,1800,20.0,6,MALES,,F. GUERINEAU,A. RIPOLL RIGO,36917000.0,107.0,7252.5,5,1,6.0,1.0,False
6333,5,2025-09-03,40569,3,CAP,1800,20.0,8,FEMELLES,PROTEGE_ANTERIEURS_DEFERRRE_POSTERIEURS,A. GARANDEAU,A. GARANDEAU,44413500.0,61.0,7216.666666666667,5,0,6.666666666666667,1.0,False
6782,2,2025-09-11,42297,4,HAM,2200,18.0,5,FEMELLES,DEFERRE_POSTERIEURS,Mme KRAMER KATHARINA,K. KRAMER,139500.0,26.0,56880.0,0,0,,365.0,True
6782,2,2025-09-11,42323,2,HAM,2200,18.0,5,HONGRES,,KLUTH KORNELIUS,I. MULLER,142500.0,28.0,56880.0,0,0,,365.0,True
6782,2,2025-09-11,77793,5,HAM,2200,18.0,4,FEMELLES,,NIMCZYK MICHAEL,W. NIMCZYK,170000.0,1.6,56880.0,0,0,,365.0,True
6782,2,2025-09-11,77802,6,HAM,2200,18.0,5,MALES,,RAMRATH HEINRICH,H. RAMRATH,172500.0,19.0,56880.0,0,0,,365.0,True
6782,2,2025-09-11,65104,1,HAM,2200,18.0,3,HONGRES,,REBER THOMAS,F. KLEIN,183000.0,3.7,56880.0,0,0,,365.0,True
6782,2,2025-09-11,77820,3,HAM,2200,18.0,3,MALES,,SPANGENBERG DENNIS,B. WARNKE,218500.0,7.6,56880.0,0,0,,365.0,True
